No,no transaksi,Tanggal/Bulan/Tahun,ID Supplier,Nama Supplier,ID Kategori,Kategori,Quantity Barang Supplier /Pcs,Quantity Barang blibli.com /Pcs,,Stock Tersisa
269,A171,24-Apr-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,652,652,652,0
270,A172,28-Apr-20,IS034,MENSTRUHERO,IK01,Health & Beauty,45,45,45,0
271,A173,30-Apr-20,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,240,240,240,0
272,A173,30-Apr-20,IS002,Office Partner Solution FBB,IK02,Electronics,18,18,18,0
273,A173,30-Apr-20,IS017,PT. Samsung Electronics Indonesia,IK02,Electronics,50,50,50,0
274,A174,05-May-20,IS035,PT. ALAMJAYA WIRASENTOSA,IK04,Cooking Ingredients,143,117,143,-26
275,A175,06-May-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1800,1800,1800,0
276,A176,08-May-20,IS034,MENSTRUHERO,IK01,Health & Beauty,60,60,60,0
277,A176,08-May-20,IS036,PT BELANJA ROYAL MAKMUR,IK03,Gadget,350,350,350,0
278,A176,08-May-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,196,184,196,-12
279,A177,12-May-20,IS002,Office Partner Solution FBB,IK02,Electronics,27,27,27,0
280,A178,16-May-20,IS037,Mandiri Martz,IK04,Cooking Ingredients,62,62,62,0
281,A178,16-May-20,IS037,Mandiri Martz,IK08,Kids & Baby,48,48,48,0
282,A179,18-May-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
283,A180,19-May-20,IS003,PT. Teman Sejahtera,IK03,Gadget,550,550,550,0
284,A180,19-May-20,IS002,Office Partner Solution FBB,IK02,Electronics,68,68,68,0
285,A181,22-May-20,IS035,PT. ALAMJAYA WIRASENTOSA,IK04,Cooking Ingredients,83,83,83,0
286,A182,27-May-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
287,A183,01-Jun-20,IS003,PT. Teman Sejahtera,IK03,Gadget,800,800,800,0
288,A184,10-Jun-20,IS002,Office Partner Solution FBB,IK02,Electronics,79,79,79,0
289,A185,12-Jun-20,IS001," 	Unilever Indonesia",IK01,Health & Beauty,4786,4786,4786,0
290,A185,12-Jun-20,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,160,160,160,0
291,A186,13-Jun-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1530,1530,1530,0
292,A187,15-Jun-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1012,782,1012,-230
293,A187,15-Jun-20,IS035,PT. ALAMJAYA WIRASENTOSA,IK04,Cooking Ingredients,725,725,725,0
294,A188,16-Jun-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,320,320,320,0
295,A188,16-Jun-20,IS019,PT Bina San Prima Cabang Medan,IK09,Accessories,260,260,260,0
296,A189,17-Jun-20,IS003,PT. Teman Sejahtera,IK03,Gadget,230,230,230,0
297,A189,17-Jun-20,IS003,PT. Teman Sejahtera,IK03,Gadget,170,170,170,0
298,A190,18-Jun-20,IS003,PT. Teman Sejahtera,IK03,Gadget,30,30,30,0
299,A190,18-Jun-20,IS038,PT Cipta Karya Agung Abadi ,IK10,Frozen Food,24,24,24,0
300,A190,18-Jun-20,IS038,PT Cipta Karya Agung Abadi ,IK09,Accessories,17,17,17,0
301,A191,19-Jun-20,IS039,PT Asia Paramita Indah ,IK09,Accessories,100,100,100,0
302,A192,22-Jun-20,IS024,PT. Frisian Flag Indonesia,IK05,Food,702,666,702,-36
303,A192,22-Jun-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,80,80,80,0
304,A193,23-Jun-20,IS002,Office Partner Solution FBB,IK02,Electronics,9,9,9,0
305,A193,23-Jun-20,IS003,PT. Teman Sejahtera,IK03,Gadget,380,380,380,0
306,A194,24-Jun-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
307,A195,25-Jun-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,80,80,80,0
308,A196,29-Jun-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,155,155,155,0
309,A197,01-Jul-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1155,1155,1155,0
310,A198,03-Jul-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1600,1600,1600,0
311,A199,04-Jul-20,IS020,PT.Tigaraksa Satria Medan,IK05,Food,228,228,228,0
312,A200,07-Jul-20,IS011,Hanabi cell,IK03,Gadget,700,700,700,0
313,A200,07-Jul-20,IS002,Office Partner Solution FBB,IK02,Electronics,20,20,20,0
314,A200,07-Jul-20,IS038,PT Cipta Karya Agung Abadi ,IK10,Frozen Food,18,18,18,0
315,A200,07-Jul-20,IS038,PT Cipta Karya Agung Abadi ,IK09,Accessories,18,18,18,0
316,A201,08-Jul-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,2550,2550,2550,0
317,A201,08-Jul-20,IS002,Office Partner Solution FBB,IK02,Electronics,5,5,5,0
318,A202,10-Jul-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,20,20,20,0
319,A202,10-Jul-20,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,10,10,10,0
320,A203,13-Jul-20,IS002,Office Partner Solution FBB,IK02,Electronics,9,9,9,0
321,A204,15-Jul-20,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,131,131,131,0
322,A205,16-Jul-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
323,A205,16-Jul-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
324,A206,20-Jul-20,IS035,PT. ALAMJAYA WIRASENTOSA,IK04,Cooking Ingredients,101,101,101,0
325,A206,20-Jul-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1475,1475,1475,0
326,A206,20-Jul-20,IS001," 	Unilever Indonesia",IK01,Health & Beauty,7572,7548,7572,-24
327,A207,21-Jul-20,IS003,PT. Teman Sejahtera,IK03,Gadget,260,260,260,0
328,A207,21-Jul-20,IS002,Office Partner Solution FBB,IK02,Electronics,16,16,16,0
329,A208,22-Jul-20,IS011,Hanabi cell,IK03,Gadget,760,760,760,0
330,A209,25-Jul-20,IS011,Hanabi cell,IK03,Gadget,471,471,471,0
331,A210,27-Jul-20,IS011,Hanabi cell,IK03,Gadget,2,2,2,0
332,A211,28-Jul-20,IS002,Office Partner Solution FBB,IK02,Electronics,34,34,34,0
333,A211,28-Jul-20,IS011,Hanabi cell,IK03,Gadget,500,500,500,0
334,A212,30-Jul-20,IS002,Office Partner Solution FBB,IK02,Electronics,3,3,3,0
335,A212,30-Jul-20,IS011,Hanabi cell,IK03,Gadget,250,250,250,0
336,A213,03-Aug-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,80,80,80,0
337,A213,03-Aug-20,IS011,Hanabi cell,IK03,Gadget,660,660,660,0
338,A214,04-Aug-20,IS040,PT. Indodairy Continental,IK05,Food,57,57,57,0
339,A214,04-Aug-20,IS002,Office Partner Solution FBB,IK02,Electronics,39,39,39,0
340,A215,05-Aug-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,12,12,12,0
341,A215,05-Aug-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,19,19,19,0
342,A216,06-Aug-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,4,4,4,0
343,A216,06-Aug-20,IS011,Hanabi cell,IK03,Gadget,600,600,600,0
344,A217,07-Aug-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
345,A217,07-Aug-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,60,60,60,0
346,A218,10-Aug-20,IS014,PT. Kurnia Aneka Gemilang,IK05,Food,50,50,50,0
347,A218,10-Aug-20,IS003,PT. Teman Sejahtera,IK03,Gadget,880,880,880,0
348,A218,10-Aug-20,IS002,Office Partner Solution FBB,IK02,Electronics,1,1,1,0
349,A218,10-Aug-20,IS035,PT. ALAMJAYA WIRASENTOSA,IK04,Cooking Ingredients,15,15,15,0
350,A219,11-Aug-20,IS011,Hanabi cell,IK03,Gadget,460,460,460,0
351,A220,12-Aug-20,IS003,PT. Teman Sejahtera,IK03,Gadget,290,290,290,0
352,A221,13-Aug-20,IS042,PT. Inti Sehat Maju Jaya,IK01,Health & Beauty,132,132,132,0
353,A222,14-Aug-20,IS011,Hanabi cell,IK03,Gadget,700,700,700,0
354,A222,14-Aug-20,IS002,Office Partner Solution FBB,IK02,Electronics,5,5,5,0
355,A223,18-Aug-20,IS002,Office Partner Solution FBB,IK02,Electronics,25,25,25,0
356,A223,18-Aug-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,20,20,20,0
357,A224,19-Aug-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,60,60,60,0
358,A224,19-Aug-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,80,80,80,0
359,A224,19-Aug-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,245,245,245,0
360,A224,19-Aug-20,IS011,Hanabi cell,IK03,Gadget,500,500,500,0
361,A225,21-Aug-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,80,80,80,0
362,A225,21-Aug-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,320,320,320,0
363,A225,21-Aug-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
364,A226,22-Aug-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,320,320,320,0
365,A227,24-Aug-20,IS011,Hanabi cell,IK03,Gadget,350,350,350,0
366,A227,24-Aug-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1500,1500,1500,0
367,A228,26-Aug-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,16,16,16,0
368,A228,26-Aug-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,290,290,290,0
369,A228,26-Aug-20,IS011,Hanabi cell,IK03,Gadget,340,340,340,0
370,A228,26-Aug-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,240,240,240,0
371,A229,27-Aug-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,10,10,10,0
372,A229,27-Aug-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1500,1500,1500,0
373,A230,28-Aug-20,IS043,Turbo Official store,IK02,Electronics,150,150,150,0
374,A231,31-Aug-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
375,A232,03-Sep-20,IS011,Hanabi cell,IK03,Gadget,500,500,500,0
376,A232,03-Sep-20,IS011,Hanabi cell,IK03,Gadget,1,1,1,0
377,A233,04-Sep-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,220,220,220,0
378,A233,04-Sep-20,IS044,PT. Sukanda Djaya,IK04,Cooking Ingredients,114,114,114,0
379,A234,07-Sep-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,70,70,70,0
380,A235,09-Sep-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,460,460,460,0
381,A235,09-Sep-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,120,120,120,0
382,A235,09-Sep-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,120,120,120,0
383,A236,15-Sep-20,IS045,PT. KREASI KOTAK MEGAH,IK09,Accessories,3000,3000,3000,0
384,A236,15-Sep-20,IS045,PT. KREASI KOTAK MEGAH,IK09,Accessories,5000,5000,5000,0
385,A236,15-Sep-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,120,120,120,0
386,A236,15-Sep-20,IS046,PT Kao Indonesia,IK01,Health & Beauty,250,250,250,0
387,A237,16-Sep-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,90,90,90,0
388,A237,16-Sep-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,180,180,180,0
389,A237,16-Sep-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
390,A237,18-Sep-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,2350,2350,2350,0
391,A238,21-Sep-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,44,44,44,0
392,A238,21-Sep-20,IS003,PT. Teman Sejahtera,IK03,Gadget,765,765,765,0
393,A239,24-Sep-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,0,1800,-1800
394,A240,25-Sep-20,IS011,Hanabi cell,IK03,Gadget,300,300,300,0
395,A241,26-Sep-20,IS003,PT. Teman Sejahtera,IK03,Gadget,600,600,600,0
396,A242,28-Sep-20,IS033,PT. Sari Agrotama Persada,IK04,Cooking Ingredients,3570,3570,3570,0
397,A243,29-Sep-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,44,44,44,0
398,A244,30-Sep-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,320,320,320,0
399,A244,30-Sep-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,25,25,25,0
400,A244,30-Sep-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,400,400,400,0
401,A244,30-Sep-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK05,Food,10,10,10,0
402,A244,30-Sep-20,IS002,Office Partner Solution FBB,IK02,Electronics,36,36,36,0
403,A245,05-Oct-20,IS020,PT.Tigaraksa Satria Medan,IK11,Pet Food,96,68,96,-28
404,A246,06-Oct-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,2900,2900,2900,0
405,A246,06-Oct-20,IS011,Hanabi cell,IK03,Gadget,600,600,600,0
406,A247,07-Oct-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,15,15,15,0
407,A248,09-Oct-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1670,1670,1670,0
408,A249,12-Oct-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK01,Health & Beauty,384,384,384,0
409,A250,13-Oct-20,IS047,PT. Sarana Kencana Mulya,IK02,Electronics,200,200,200,0
410,A251,14-Oct-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
411,A252,15-Oct-20,IS002,Office Partner Solution FBB,IK02,Electronics,19,19,19,0
412,A253,17-Oct-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,14,14,14,0
413,A254,19-Oct-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,15,15,15,0
414,A255,22-Oct-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
415,A256,26-Oct-20,IS017,PT. Samsung Electronics Indonesia,IK02,Electronics,200,200,200,0
416,A257,27-Oct-20,IS002,Office Partner Solution FBB,IK02,Electronics,2,2,2,0
417,A257,27-Oct-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
418,A258,30-Oct-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
419,A259,02-Nov-20,IS011,Hanabi cell,IK03,Gadget,200,200,200,0
420,A259,02-Nov-20,IS002,Office Partner Solution FBB,IK02,Electronics,5,5,5,0
421,A260,03-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
422,A261,04-Nov-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,140,140,140,0
423,A262,05-Nov-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1650,1650,1650,0
424,A263,06-Nov-20,IS003,PT. Teman Sejahtera,IK03,Gadget,200,200,200,0
425,A264,07-Nov-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,48,48,48,0
426,A265,09-Nov-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,32,32,32,0
427,A265,09-Nov-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,20,20,20,0
428,A265,09-Nov-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,10,10,10,0
429,A267,10-Nov-20,IS011,Hanabi cell,IK03,Gadget,200,200,200,0
430,A267,10-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
431,A267,10-Nov-20,IS048,"PT Sinarmas Distribusi Nusantara	",IK04,Cooking Ingredients,5,5,5,0
432,A268,16-Nov-20,IS002,Office Partner Solution FBB,IK02,Electronics,81,81,81,0
433,A268,16-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,2350,2350,2350,0
434,A269,17-Nov-20,IS003,PT. Teman Sejahtera,IK03,Gadget,580,580,580,0
435,A270,18-Nov-20,IS011,Hanabi cell,IK03,Gadget,400,400,400,0
436,A270,18-Nov-20,IS011,Hanabi cell,IK03,Gadget,1,1,1,0
437,A271,19-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
438,A272,20-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
439,A272,20-Nov-20,IS049,"	PT. Bandung Bina Distribusi 	",IK05,Food,208,208,208,0
440,A273,24-Nov-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,200,200,200,0
441,A273,24-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
442,A273,24-Nov-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,250,250,250,0
443,A274,26-Nov-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,340,340,340,0
444,A274,26-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
445,A274,26-Nov-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,250,250,250,0
446,A275,27-Nov-20,IS011,Hanabi cell,IK03,Gadget,200,200,200,0
447,A276,30-Nov-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
448,A277,01-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,13,13,13,0
449,A278,04-Dec-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,20,20,20,0
450,A278,04-Dec-20,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,10,10,10,0
451,A278,04-Dec-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,100,100,100,0
452,A278,04-Dec-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,125,125,125,0
453,A279,10-Dec-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,250,250,250,0
454,A280,11-Dec-20,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,22,22,22,0
455,A280,11-Dec-20,IS049,"	PT. Bandung Bina Distribusi 	",IK05,Food,4800,4800,4800,0
456,A280,11-Dec-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
457,A281,14-Dec-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,260,260,260,0
458,A281,14-Dec-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,380,380,380,0
459,A282,15-Dec-20,IS003,PT. Teman Sejahtera,IK03,Gadget,300,300,300,0
460,A282,15-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,13,13,13,0
461,A282,15-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,1,1,1,0
462,A282,15-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,10,10,10,0
463,A282,15-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,103,103,103,0
464,A283,16-Dec-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,150,0,150,-150
465,A284,18-Dec-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,160,0,160,-160
466,A285,19-Dec-20,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,140,0,140,-140
467,A286,22-Dec-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
468,A287,23-Dec-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,68,68,68,0
469,A287,23-Dec-20,IS003,PT. Teman Sejahtera,IK03,Gadget,900,900,900,0
470,A288,24-Dec-20,IS035,PT. ALAMJAYA WIRASENTOSA,IK05,Food,784,446,784,-338
471,A288,24-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,60,60,60,0
472,A288,24-Dec-20,IS050,"Blibook Official Store 	",IK12,Books,240,220,240,-20
473,A289,28-Dec-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
474,A290,29-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,14,11,14,-3
475,A291,30-Dec-20,IS002,Office Partner Solution FBB,IK02,Electronics,6,6,6,0
476,A292,04-Jan-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,250,0,250,-250
477,A293,05-Jan-21,IS011,Hanabi cell,IK03,Gadget,200,0,200,-200
478,A294,07-Jan-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,200,200,200,0
479,A295,08-Jan-21,IS044,PT. Sukanda Djaya,IK04,Cooking Ingredients,564,437,564,-127
480,A296,09-Jan-21,IS011,Hanabi cell,IK03,Gadget,200,200,200,0
481,A296,09-Jan-21,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK04,Cooking Ingredients,44,44,44,0
482,A297,14-Jan-21,IS002,Office Partner Solution FBB,IK02,Electronics,6,6,6,0
483,A297,14-Jan-21,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,65,65,65,0
484,A297,14-Jan-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,150,150,150,0
485,A298,16-Jan-21,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,24,17,24,-7
486,A298,16-Jan-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,100,100,100,0
487,299,18-Jan-21,IS003,PT. Teman Sejahtera,IK03,Gadget,1470,1180,1470,-290
488,A300,19-Jan-21,IS003,PT. Teman Sejahtera,IK03,Gadget,290,120,290,-170
489,A300,19-Jan-21,IS051,PT Gatra Kesindo Jaya ,IK05,Food,144,144,144,0
490,A300,19-Jan-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,130,130,130,0
491,A301,21-Jan-21,IS003,PT. Teman Sejahtera,IK03,Gadget,70,70,70,0
492,A301,21-Jan-21,IS011,Hanabi cell,IK03,Gadget,100,100,100,0
493,A302,23-Jan-21,IS011,Hanabi cell,IK03,Gadget,300,300,300,0
494,A303,26-Jan-21,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
495,A303,26-Jan-21,IS002,Office Partner Solution FBB,IK02,Electronics,16,16,16,0
496,A304,27-Jan-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,255,255,255,0
497,A304,27-Jan-21,IS003,PT. Teman Sejahtera,IK03,Gadget,440,440,440,0
498,A305,28-Jan-21,IS003,PT. Teman Sejahtera,IK03,Gadget,460,460,460,0
499,A306,29-Jan-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,420,420,420,0
500,A307,01-Feb-21,IS001," 	Unilever Indonesia",IK01,Health & Beauty,2424,2160,2424,-264
501,A308,02-Feb-21,IS011,Hanabi cell,IK03,Gadget,500,500,500,0
502,A308,02-Feb-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,200,200,200,0
503,A308,02-Feb-21,IS002,Office Partner Solution FBB,IK02,Electronics,4,4,4,0
504,A309,03-Feb-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,700,700,700,0
505,A309,03-Feb-21,IS002,Office Partner Solution FBB,IK02,Electronics,9,9,9,0
506,A310,04-Feb-21,IS011,Hanabi cell,IK03,Gadget,100,100,100,0
507,A311,05-Feb-21,IS003,PT. Teman Sejahtera,IK03,Gadget,1850,1620,1850,-230
508,A311,05-Feb-21,IS002,Office Partner Solution FBB,IK02,Electronics,25,25,25,0
509,A312,06-Feb-21,IS011,Hanabi cell,IK03,Gadget,250,250,250,0
510,A312,06-Feb-21,IS003,PT. Teman Sejahtera,IK03,Gadget,200,200,200,0
511,A313,07-Feb-21,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,168,0,168,-168
512,A313,07-Feb-21,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,120,0,120,-120
513,A314,08-Feb-21,IS020,PT.Tigaraksa Satria Medan,IK04,Cooking Ingredients,77,53,77,-24
514,A315,09-Feb-21,IS002,Office Partner Solution FBB,IK02,Electronics,2,2,2,0
515,A315,09-Feb-21,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
516,A316,10-Feb-21,IS002,Office Partner Solution FBB,IK02,Electronics,249,249,249,0
517,A316,10-Feb-21,IS011,Hanabi cell,IK03,Gadget,450,450,450,0
518,A316,10-Feb-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,440,440,440,0
519,A316,10-Feb-21,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK10,Frozen Food,20,0,20,-20
520,A316,10-Feb-21,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,15,0,15,-15
521,A316,10-Feb-21,IS041,PT MEDAN DISTRIBUSINDO RAYA,IK09,Accessories,12,5,12,-7
522,A317,11-Feb-21,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,118,109,118,-9
523,A318,15-Feb-21,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,184,136,184,-48
524,A319,16-Feb-21,IS049,"	PT. Bandung Bina Distribusi 	",IK05,Food,1109,1007,1109,-102
525,A320,17-Feb-21,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,48,48,48,0
526,A321,18-Feb-21,IS003,PT. Teman Sejahtera,IK03,Gadget,628,628,628,0
527,A322,19-Feb-21,IS002,Office Partner Solution FBB,IK02,Electronics,19,19,19,0
528,A323,23-Feb-21,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK09,Accessories,50,50,50,0
529,A324,25-Feb-21,IS011,Hanabi cell,IK03,Gadget,400,400,400,0
530,A324,25-Feb-21,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,460,460,460,0
531,A325,26-Feb-21,IS003,PT. Teman Sejahtera,IK03,Gadget,455,455,455,0
532,A326,27-Feb-21,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,26,26,26,0
533,A327,28-Feb-21,IS049,"	PT. Bandung Bina Distribusi 	",IK05,Food,1200,1200,1200,0
